appid,game_name,sampled_review_count,positive_count,negative_count,first_review_datetime,last_review_datetime,source_run
1309950,Children of the Sun,883,809,74,2024-04-09 16:16:12,2026-04-28 06:21:38,children_of_the_sun
2990640,Endoparasitic 2,245,198,47,2024-10-01 20:00:52,2026-04-10 23:16:46,endoparasitic_2
619820,Heroes of Hammerwatch II,1000,462,538,2025-01-15 00:49:00,2026-04-26 14:59:21,heroes_of_hammerwatch_2
3150440,Laundry Store Simulator,575,486,89,2024-12-09 15:56:21,2026-05-02 21:01:43,laundry_store_simulator
2277320,Necrosmith 2,324,236,88,2024-03-27 17:08:08,2026-04-22 23:28:08,necrosmith_2
