llm_issue_category,appid,game_name,issue_name_kor,affected_review_count,positive_review_count,negative_review_count,mixed_review_count,negative_mixed_review_count,steam_negative_review_count,high_urgency_review_count,high_urgency_negative_mixed_review_count,recent_30d_review_count,recent_30d_negative_mixed_review_count,early_playtime_negative_mixed_review_count,avg_playtime_at_review_hours,median_playtime_at_review_hours,high_urgency_rate,negative_mixed_rate,steam_negative_rate,recent_30d_negative_mixed_rate,action_group_hint,priority_candidate,rule_priority_hint,priority_selection_note,priority_rule_detail,priority_reason,patch_ops_note,source_run
control,2277320,Necrosmith 2,조작감,25,1,19,0,19,8,8,8,0,0,7,13.46,7.68,0.32,0.76,0.32,0.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 25개, 부정·혼합 19개, Steam 비추천 맥락 8개, 초반 플레이타임 부정·혼합 7개, High urgency 후보 8개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","이동, 전투, 상호작용 조작의 반응성과 키 설정 편의성을 점검한다.",necrosmith_2
crash,2277320,Necrosmith 2,크래시,7,0,7,0,7,7,7,7,0,0,5,5.82,0.15,1.0,1.0,1.0,0.0,즉시 확인,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 7개, 부정·혼합 7개, Steam 비추천 맥락 7개, 초반 플레이타임 부정·혼합 5개, High urgency 후보 7개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","크래시 발생 조건과 로그를 우선 확인하고, 재현 가능한 오류부터 수정한다.",necrosmith_2
developer_communication,2277320,Necrosmith 2,개발사 소통,9,2,7,0,7,6,5,5,0,0,3,17.12,14.2,0.5556,0.7778,0.6667,0.0,운영 커뮤니케이션 개선,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 9개, 부정·혼합 7개, Steam 비추천 맥락 6개, 초반 플레이타임 부정·혼합 3개, High urgency 후보 5개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","패치 노트, 공지, 커뮤니티 응답 등 운영 커뮤니케이션을 점검한다.",necrosmith_2
graphics_audio,2277320,Necrosmith 2,그래픽/사운드,7,1,5,0,5,5,0,0,0,0,4,17.9,2.48,0.0,0.7143,0.7143,0.0,장기 검토,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 7개, 부정·혼합 5개, Steam 비추천 맥락 5개, 초반 플레이타임 부정·혼합 4개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",그래픽/사운드가 몰입을 방해하는지와 강점으로 작동하는지를 함께 확인한다.,necrosmith_2
story,2277320,Necrosmith 2,스토리,10,2,5,0,5,3,0,0,1,1,1,23.96,18.43,0.0,0.5,0.3,1.0,장기 검토,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 10개, 부정·혼합 5개, Steam 비추천 맥락 3개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 1개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","서사 전달, 퀘스트 흐름, 엔딩/분기 만족도를 장기 개선 후보로 검토한다.",necrosmith_2
other,2277320,Necrosmith 2,기타,7,0,2,0,2,1,0,0,0,0,0,39.66,22.95,0.0,0.2857,0.1429,0.0,검토 필요,하,하,기타 이슈는 원인이 명확하지 않아 세부 리뷰 확인 대상으로 분리,기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리,"영향 리뷰 7개, 부정·혼합 2개, Steam 비추천 맥락 1개, 절대 기준 후보 하, 규칙 근거: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리",세부 리뷰를 확인해 반복되는 하위 원인이 있는지 검토한다.,necrosmith_2
optimization,2277320,Necrosmith 2,최적화,2,0,2,0,2,0,1,1,0,0,0,17.54,17.54,0.5,1.0,0.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 2개, 부정·혼합 2개, Steam 비추천 맥락 0개, High urgency 후보 1개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",최적화 이슈가 특정 구간이나 사양에서 반복되는지 확인한다.,necrosmith_2
monetization,2277320,Necrosmith 2,과금,1,0,1,0,1,1,0,0,0,0,0,6.1,6.1,0.0,1.0,1.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 1개, 부정·혼합 1개, Steam 비추천 맥락 1개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","가격, DLC, 과금 관련 불만이 반복되는지 확인하고 커뮤니케이션 방식을 점검한다.",necrosmith_2
translation_localization,2277320,Necrosmith 2,번역/현지화,1,0,1,0,1,0,0,0,0,0,0,6.6,6.6,0.0,1.0,0.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 1개, 부정·혼합 1개, Steam 비추천 맥락 0개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",번역/현지화 불만이 실제 이해도와 진행 경험에 영향을 주는지 검토한다.,necrosmith_2
multiplayer_network,2277320,Necrosmith 2,멀티/네트워크,1,0,0,0,0,0,0,0,0,0,0,24.07,24.07,0.0,0.0,0.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 1개, 부정·혼합 0개, Steam 비추천 맥락 0개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",세부 리뷰 확인 후 대응 방향을 검토한다.,necrosmith_2
price_value,2277320,Necrosmith 2,가격/가치,17,13,3,0,3,2,0,0,1,1,1,13.6,8.1,0.0,0.1765,0.1176,1.0,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 17개, 부정·혼합 3개, Steam 비추천 맥락 2개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 1개, 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",가격 대비 만족도 불만이 반복되는지 확인하고 할인/번들/콘텐츠 가치 전달을 검토한다.,necrosmith_2
positive_praise,2277320,Necrosmith 2,긍정 칭찬,206,206,0,0,0,6,8,0,3,0,0,15.87,10.85,0.0388,0.0,0.0291,0.0,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 206개, 부정·혼합 0개, Steam 비추천 맥락 6개, High urgency 후보 8개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리","긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",necrosmith_2
